date,value,timeseries_id,dataset_id,value_name
2008-08-31,105.6,K222,DIOP,iop
2008-09-30,104.0,K222,DIOP,iop
2008-10-31,102.8,K222,DIOP,iop
2008-11-30,99.5,K222,DIOP,iop
2008-12-31,98.5,K222,DIOP,iop
2009-01-31,96.2,K222,DIOP,iop
2009-02-28,96.1,K222,DIOP,iop
2009-03-31,95.8,K222,DIOP,iop
2009-04-30,97.4,K222,DIOP,iop
2009-05-31,95.8,K222,DIOP,iop
2009-06-30,96.4,K222,DIOP,iop
2009-07-31,97.4,K222,DIOP,iop
2009-08-31,95.1,K222,DIOP,iop
2009-09-30,96.2,K222,DIOP,iop
2009-10-31,96.7,K222,DIOP,iop
2009-11-30,97.4,K222,DIOP,iop
2009-12-31,97.2,K222,DIOP,iop
2010-01-31,97.5,K222,DIOP,iop
2010-02-28,98.6,K222,DIOP,iop
2010-03-31,100.2,K222,DIOP,iop
2010-04-30,100.0,K222,DIOP,iop
2010-05-31,100.0,K222,DIOP,iop
2010-06-30,99.0,K222,DIOP,iop
2010-07-31,99.0,K222,DIOP,iop
2010-08-31,100.0,K222,DIOP,iop
2010-09-30,100.2,K222,DIOP,iop
2010-10-31,100.6,K222,DIOP,iop
2010-11-30,100.9,K222,DIOP,iop
2010-12-31,101.3,K222,DIOP,iop
2011-01-31,101.8,K222,DIOP,iop
2011-02-28,100.2,K222,DIOP,iop
2011-03-31,100.2,K222,DIOP,iop
2011-04-30,99.1,K222,DIOP,iop
2011-05-31,100.1,K222,DIOP,iop
2011-06-30,100.2,K222,DIOP,iop
2011-07-31,99.7,K222,DIOP,iop
2011-08-31,99.4,K222,DIOP,iop
2011-09-30,99.2,K222,DIOP,iop
2011-10-31,99.2,K222,DIOP,iop
2011-11-30,98.9,K222,DIOP,iop
2011-12-31,98.9,K222,DIOP,iop
2012-01-31,99.0,K222,DIOP,iop
2012-02-29,98.7,K222,DIOP,iop
2012-03-31,97.8,K222,DIOP,iop
2012-04-30,97.8,K222,DIOP,iop
2012-05-31,98.4,K222,DIOP,iop
2012-06-30,96.5,K222,DIOP,iop
2012-07-31,99.1,K222,DIOP,iop
2012-08-31,98.5,K222,DIOP,iop
2012-09-30,95.5,K222,DIOP,iop
2012-10-31,95.2,K222,DIOP,iop
2012-11-30,95.9,K222,DIOP,iop
2012-12-31,96.5,K222,DIOP,iop
2013-01-31,95.6,K222,DIOP,iop
2013-02-28,95.5,K222,DIOP,iop
2013-03-31,96.1,K222,DIOP,iop
2013-04-30,95.5,K222,DIOP,iop
2013-05-31,96.0,K222,DIOP,iop
2013-06-30,96.6,K222,DIOP,iop
2013-07-31,96.7,K222,DIOP,iop
2013-08-31,96.1,K222,DIOP,iop
2013-09-30,97.2,K222,DIOP,iop
